Date	cases
2020-04-13	14
2020-04-14	15
2020-04-15	15
2020-04-16	17
2020-04-19	19
2020-04-20	19
2020-04-21	21
2020-04-22	59
2020-04-23	61
2020-04-24	65
2020-04-27	75
2020-04-28	80
2020-04-29	88
2020-04-30	90
2020-05-01	94
2020-05-02	97
2020-05-03	97
2020-05-04	98
2020-05-06	101
2020-05-07	102
2020-05-08	104
2020-05-09	106
2020-05-10	107
2020-05-11	110
2020-05-12	110
2020-05-13	111
2020-05-14	113
2020-05-15	114
2020-05-16	115
2020-05-17	117
2020-05-18	118
2020-05-19	118
2020-05-20	121
2020-05-21	124
2020-05-22	124
2020-05-23	126
2020-05-24	129
2020-05-26	132
2020-05-27	133
2020-05-28	134
2020-05-29	134
2020-05-30	134
2020-05-31	137
2020-06-01	138
2020-06-02	138
2020-06-03	138
2020-06-05	146
2020-06-06	147
